Left,Right,TypeLeft,TypeRight,Compatibility
gpl3,gpl3,S,S,yes
gpl3,gpl2p,S,S,yes
gpl3,gpl2,S,S,no
gpl3,lgpl3p,S,S,yes
gpl3,lgpl21p,S,S,yes
gpl3,agpl3,S,S,no
gpl3,bsd3,S,S,yes
gpl3,bsd4,S,S,no
gpl3,mit,S,S,yes
gpl3,mpl,S,S,no
gpl3,public,S,S,yes
gpl2p,gpl2p,S,S,yes
gpl2p,gpl2,S,S,no
gpl2p,lgpl3p,S,S,yes
gpl2p,lgpl21p,S,S,yes
gpl2p,agpl3,S,S,yes
gpl2p,bsd3,S,S,yes
gpl2p,bsd4,S,S,no
gpl2p,mit,S,S,yes
gpl2p,mpl,S,S,no
gpl2p,public,S,S,yes
gpl2,gpl2,S,S,yes
gpl2,lgpl3p,S,S,no
gpl2,lgpl21p,S,S,no
gpl2,agpl3,S,S,no
gpl2,bsd3,S,S,yes
gpl2,bsd4,S,S,no
gpl2,mit,S,S,yes
gpl2,mpl,S,S,no
gpl2,public,S,S,yes
lgpl3p,lgpl3p,S,S,yes
lgpl3p,lgpl21p,S,S,yes
lgpl3p,agpl3,S,S,yes
lgpl3p,bsd3,S,S,yes
lgpl3p,bsd4,S,S,no
lgpl3p,mit,S,S,yes
lgpl3p,mpl,S,S,yes
lgpl3p,public,S,S,yes
lgpl21p,lgpl21p,S,S,yes
lgpl21p,agpl3,S,S,yes
lgpl21p,bsd3,S,S,yes
lgpl21p,bsd4,S,S,yes
lgpl21p,mit,S,S,yes
lgpl21p,mpl,S,S,no
lgpl21p,public,S,S,yes
agpl3,agpl3,S,S,yes
agpl3,bsd3,S,S,yes
agpl3,bsd4,S,S,no
agpl3,mit,S,S,yes
agpl3,mpl,S,S,no
agpl3,public,S,S,yes
bsd3,bsd3,S,S,yes
bsd3,bsd4,S,S,yes
bsd3,mit,S,S,yes
bsd3,mpl,S,S,yes
bsd3,public,S,S,yes
bsd4,bsd4,S,S,yes
bsd4,mit,S,S,yes
bsd4,mpl,S,S,yes
bsd4,public,S,S,yes
